0,0,0,0,0,0,-1.542892291
0.5,0.1,0.06,0.02,0.02,-0.014,-3.797893258
1,0.2,0.2,0.16,0.24,-0.008,0.7524558213
1.5,0.32,0.4,0.44,0.5,-0.024,0.4148978505
2,0.62,0.66,0.66,0.78,-0.0318,-0.5568027645
2.5,0.86,0.8,0.9,0.92,-0.011,0.5167194414
3,1.1,1.12,1.16,1.16,0.0018,0.3166329071
3.5,1.2,1.22,1.22,1.24,-0.0122,1.111880414
4,1.24,1.26,1.28,1.34,-0.0298,-3.369979983
4.5,1.3,1.26,1.32,1.22,-0.0094,-0.4772283428
5,1.24,1.16,1.22,1.22,-0.0058,-0.2534171881
5.5,1.32,1.22,1.44,1.2,-0.0152,0.6497443109
6,1.28,1.2,1.44,1.3,-0.0246,-1.791630201
6.5,1.22,1.32,1.36,1.36,-0.0148,2.774989593
7,1.12,1.2,1.26,1.28,-0.0092,-0.7101913623
7.5,1.2,1.22,1.28,1.34,-0.0106,1.390454435
8,1.26,1.22,1.34,1.28,-0.0036,-2.335209994
8.5,1.22,1.18,1.38,1.26,-0.0078,-2.759249961
9,1.2,1.24,1.28,1.26,-0.0104,-1.74049108
9.5,1.24,1.2,1.32,1.34,-0.0012,7.057184779
10,1.24,1.22,1.28,1.28,-0.0074,3.352186932
10.5,1.2,1.28,1.2,1.34,-0.0184,1.428251974
11,1.2,1.16,1.26,1.2,-0.0228,1.503775517
11.5,1.2,1.24,1.24,1.34,-0.0226,-0.122233788
12,1.2,1.26,1.24,1.28,-0.0194,-0.1586778482
12.5,1.32,1.26,1.32,1.28,-0.0094,0.4032885675
13,1.2,1.3,1.26,1.3,-0.024,-1.210806646
13.5,1.24,1.24,1.28,1.3,-0.0216,-1.904887445
14,1.18,1.18,1.22,1.28,-0.0182,-1.509882894
14.5,1.18,1.18,1.28,1.24,-0.0152,1.363516793
15,1.2,1.16,1.14,1.26,-0.0126,-3.074326171
15.5,1.2,1.26,1.2,1.28,-0.0322,-5.105256761
16,1.12,1.28,1.3,1.3,-0.0258,-2.660231442
16.5,1.26,1.18,1.28,1.3,-0.0074,-0.1155565323
17,1.16,1.08,1.34,1.28,0.0038,-1.703992539
17.5,1.1,1.24,1.34,1.36,-0.0068,-2.450731057
18,1.2,1.3,1.3,1.3,-0.0126,-1.736092066
18.5,1.32,1.2,1.38,1.3,-0.0018,-0.8031790014
19,1.26,1.24,1.28,1.24,0.0052,-1.495078113
