0,51.509,-0.16105,38.826,-0.014703,0.04721,0.010255
0.5,51.509,-0.16104,37.447,0.14835,-0.018524,-0.02366
1,51.509,-0.16106,33.668,0.23654,0.012654,0.017907
1.5,51.509,-0.16103,37.125,0.50729,-0.01705,0.037493
2,51.509,-0.16104,34.707,0.76216,0.0075142,0.045768
2.5,51.509,-0.16106,37.153,0.98429,0.011574,-0.025085
3,51.509,-0.16101,37.963,1.2418,0.013866,-0.031085
3.5,51.509,-0.16102,36.955,1.2376,-0.020222,-0.0087261
4,51.509,-0.16104,32.919,1.244,-0.0074859,-0.059671
4.5,51.509,-0.16101,28.262,1.2529,-0.0033951,-0.025059
5,51.509,-0.16106,36.212,1.2387,0.0037368,-0.090539
5.5,51.509,-0.16104,31.701,1.2655,-0.026851,-0.057021
6,51.509,-0.16103,31.17,1.2306,0.036484,-0.062436
6.5,51.509,-0.16101,35.665,1.2382,0.022476,-0.030447
7,51.509,-0.16103,38.44,1.272,-0.012803,-0.011583
7.5,51.509,-0.16101,41.062,1.2528,0.014732,-0.043161
8,51.509,-0.16101,34.174,1.2371,0.003513,-0.01329
8.5,51.509,-0.16103,37.739,1.2579,-0.002609,-0.048099
9,51.509,-0.16104,33.443,1.2635,0.017683,-0.041956
9.5,51.509,-0.16104,31.51,1.2681,0.0346,-0.012547
10,51.509,-0.16107,31.193,1.235,0.0371,0.0023666
10.5,51.509,-0.16105,37.567,1.2479,0.015389,0.014027
11,51.509,-0.16105,29.419,1.2746,0.00062983,-0.013981
11.5,51.509,-0.16103,35.892,1.2538,0.033477,0.016148
12,51.509,-0.16104,35.644,1.2619,-0.008934,0.00074879
12.5,51.509,-0.16103,36.271,1.2402,-0.017585,-0.0052486
13,51.509,-0.16106,37.981,1.2407,0.0025575,-0.028778
13.5,51.509,-0.16107,41.92,1.244,0.011399,-0.019623
14,51.509,-0.16104,33.202,1.2703,0.013634,-0.0095977
14.5,51.509,-0.16101,43.093,1.2444,-0.044896,0.0069361
15,51.509,-0.16103,37.527,1.2549,-0.032278,0.050403
15.5,51.509,-0.16102,34.107,1.2252,-0.010096,-0.010474
16,51.509,-0.16107,34.154,1.2177,-0.0045261,0.012266
16.5,51.509,-0.161,36.2,1.2405,-0.011578,0.02226
17,51.509,-0.16103,42.243,1.2108,-0.00032729,0.024658
17.5,51.509,-0.16103,35.095,1.2366,-0.0013848,-0.059936
18,51.509,-0.161,35.911,1.251,0.0054854,-0.07696
18.5,51.509,-0.16101,36.223,1.2312,-0.012268,0.0082388
19,51.509,-0.161,34.118,1.2449,0.0030874,-0.011188
19.5,51.509,-0.16104,35.812,1.2524,0.014822,-0.051399
20,51.509,-0.16106,36.954,1.2591,0.012076,-0.061003
20.5,51.509,-0.161,35.379,1.243,0.0083378,-0.027194
21,51.509,-0.16102,34.952,1.228,0.019449,-0.050845
21.5,51.509,-0.16099,39.974,1.2368,0.0079229,-0.051473
22,51.509,-0.16109,33.464,1.2605,-0.027419,0.021499
22.5,51.509,-0.16108,30.246,1.2412,-0.01697,0.019154
23,51.51,-0.16108,33.448,1.2575,-0.022274,-0.024273
